City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
68,Hermanus,ZA,-34.4187,19.2345,57.79,71,100,13.44,overcast clouds,0.0,0
69,Kodiak,US,57.79,-152.4072,56.71,77,90,0.0,overcast clouds,0.0,0
70,Busselton,AU,-33.65,115.3333,54.05,73,7,6.55,clear sky,0.0,0
71,Ayan,RU,56.45,138.1667,70.56,64,10,4.9,clear sky,0.0,0
72,Huarmey,PE,-10.0681,-78.1522,64.29,79,50,11.9,scattered clouds,0.0,0
73,Hithadhoo,MV,-0.6,73.0833,81.7,75,100,7.63,overcast clouds,0.0,0
74,Votkinsk,RU,57.0486,53.9872,70.77,60,100,1.57,overcast clouds,0.0,0
75,Puerto Ayora,EC,-0.7393,-90.3518,70.56,90,56,5.99,broken clouds,0.0,0
76,Kropotkin,RU,45.4375,40.5756,68.25,87,22,4.21,few clouds,0.0,0
77,Valparai,IN,10.3667,76.9667,62.37,89,99,3.13,light rain,0.87,0
78,Andrews,US,32.3187,-102.5457,84.15,45,40,14.97,scattered clouds,0.0,0
79,Bilma,NE,18.6853,12.9164,94.21,31,7,8.61,clear sky,0.0,0
80,Bambous Virieux,MU,-20.3428,57.7575,68.25,77,40,11.5,light rain,0.29,0
81,Dikson,RU,73.5069,80.5464,43.39,95,100,17.11,overcast clouds,0.0,0
82,Kutum,SD,14.2,24.6667,78.17,62,100,7.94,overcast clouds,0.0,0
83,Beian,NO,63.6559,9.5683,53.69,82,75,8.05,broken clouds,0.0,0
84,Saldanha,ZA,-33.0117,17.9442,57.09,90,100,18.66,overcast clouds,0.0,0
85,Opuwo,NA,-18.0607,13.84,64.35,47,0,4.12,clear sky,0.0,0
86,Yellowknife,CA,62.456,-114.3525,59.52,55,75,12.66,broken clouds,0.0,0
87,Ancud,CL,-41.8697,-73.8203,49.53,86,83,23.04,light rain,0.58,0
88,Aklavik,CA,68.2191,-135.0107,56.23,60,100,7.92,overcast clouds,0.0,0
89,Aiquile,BO,-18.2041,-65.1807,62.08,51,4,3.49,clear sky,0.0,0
90,Antalaha,MG,-14.9003,50.2788,66.02,88,53,8.41,broken clouds,0.0,0
91,Touros,BR,-5.1989,-35.4608,76.1,79,23,20.74,few clouds,0.0,0
92,Butaritari,KI,3.0707,172.7902,83.12,75,28,12.41,moderate rain,1.01,0
93,Lagoa,PT,39.05,-27.9833,73.22,87,100,13.53,overcast clouds,0.0,0
94,Dabat,ET,12.9842,37.765,53.15,92,89,0.72,overcast clouds,0.0,0
95,Nelipyno,UA,48.561,23.0315,69.24,63,2,4.99,clear sky,0.0,0
96,Provideniya,RU,64.3833,-173.3,42.91,87,90,11.18,light intensity drizzle,0.0,0
97,Kamenka,RU,51.3223,42.7678,68.04,88,99,6.06,overcast clouds,0.0,0
98,Klaksvik,FO,62.2266,-6.589,52.72,93,100,5.86,overcast clouds,0.0,0
99,Barreirinhas,BR,-2.7469,-42.8264,76.6,85,45,7.02,scattered clouds,0.0,0
100,Bandarbeyla,SO,9.4942,50.8122,76.86,78,14,29.71,few clouds,0.0,0
101,Codrington,AU,-38.2667,141.9667,52.23,85,100,12.28,overcast clouds,0.0,0
102,Menongue,AO,-14.6585,17.691,56.75,32,15,4.7,few clouds,0.0,0
103,Najran,SA,17.4924,44.1277,81.25,21,100,2.89,overcast clouds,0.0,0
104,Hambantota,LK,6.1241,81.1185,78.19,84,99,16.06,overcast clouds,0.0,0
105,Guerrero Negro,MX,27.9769,-114.0611,82.72,57,21,10.69,few clouds,0.0,0
106,Airai,TL,-8.9266,125.4092,62.53,63,40,4.27,scattered clouds,0.0,0
107,Leshan,CN,29.5623,103.7639,73.08,97,100,2.55,heavy intensity rain,4.86,0
108,San Patricio,US,28.017,-97.5169,91.49,49,67,12.44,broken clouds,0.0,0
109,Pangai,TO,-19.8,-174.35,77.11,53,20,17.27,light rain,0.17,0
110,Cabo San Lucas,MX,22.8909,-109.9124,92.52,58,40,10.36,scattered clouds,0.0,0
111,Ribeira Grande,PT,38.5167,-28.7,73.31,89,99,16.02,overcast clouds,0.0,0
112,Thinadhoo,MV,0.5333,72.9333,81.93,75,100,8.61,light rain,1.0,0
113,Lebu,CL,-37.6167,-73.65,50.7,92,0,11.45,clear sky,0.0,0
114,Kavieng,PG,-2.5744,150.7967,83.07,72,100,5.88,overcast clouds,0.0,0
115,Naze,JP,28.3667,129.4833,81.52,82,100,13.76,overcast clouds,0.0,0
116,Beira,MZ,-19.8436,34.8389,69.89,73,0,9.22,clear sky,0.0,0
117,Mahebourg,MU,-20.4081,57.7,68.29,77,40,11.5,light rain,0.24,0
118,Arlit,NE,18.7369,7.3853,93.83,27,85,9.6,overcast clouds,0.0,0
119,Thompson,CA,55.7435,-97.8558,60.96,82,90,6.91,overcast clouds,0.0,0
120,Klyuchevskiy,RU,53.5317,119.4519,61.72,81,100,5.17,overcast clouds,0.0,0
121,Srednekolymsk,RU,67.45,153.6833,47.57,57,99,9.86,overcast clouds,0.0,0
122,Mar Del Plata,AR,-38.0023,-57.5575,51.82,93,75,6.91,light rain,0.17,0
123,Walvis Bay,NA,-22.9575,14.5053,54.09,93,2,3.44,clear sky,0.0,0
124,Oktyabrskoye,RU,43.0645,44.7417,59.14,100,35,2.24,scattered clouds,0.0,0
125,Jalu,LY,29.0331,21.5482,78.82,52,0,12.8,clear sky,0.0,0
126,Maxixe,MZ,-23.8597,35.3472,64.11,77,60,7.02,broken clouds,0.0,0
127,Shu,KZ,43.5983,73.7614,60.78,53,0,2.73,clear sky,0.0,0
128,Asyut,EG,27.181,31.1837,80.78,22,0,13.18,clear sky,0.0,0
129,Butterworth,MY,5.3991,100.3638,75.99,95,40,3.44,mist,0.0,0
130,Miri,MY,4.4148,114.0089,77.14,94,40,2.3,scattered clouds,0.0,0
131,Obsharovka,RU,53.125,48.8531,69.75,26,98,2.15,overcast clouds,0.0,0
132,Chokurdakh,RU,70.6333,147.9167,47.32,55,17,6.2,few clouds,0.0,0
133,Raga,SS,8.4596,25.678,70.57,86,15,0.98,few clouds,0.0,0
134,Broken Hill,AU,-31.95,141.4333,49.1,68,0,10.36,clear sky,0.0,0
135,Yining,CN,29.0361,114.5636,75.36,98,95,1.25,overcast clouds,0.0,0
136,Victoria,HK,22.2855,114.1577,84.96,87,5,4.79,clear sky,0.0,0
137,Castro,BR,-24.7911,-50.0119,59.07,90,13,4.05,few clouds,0.0,0
138,Port-Cartier,CA,50.0334,-66.8654,70.02,66,80,12.19,broken clouds,0.0,0
139,Verkhnevilyuysk,RU,63.4453,120.3167,54.1,74,100,5.53,overcast clouds,0.0,0
140,Hilo,US,19.7297,-155.09,83.93,71,1,11.5,clear sky,0.0,0
141,Krasnoselkup,RU,65.7,82.4667,53.98,74,71,12.17,broken clouds,0.0,0
142,Leningradskiy,RU,69.3833,178.4167,34.11,83,98,9.51,overcast clouds,0.0,0
143,Bac Lieu,VN,9.285,105.7244,79.16,84,39,3.24,scattered clouds,0.0,0
144,Stromness,GB,58.965,-3.296,55.65,91,100,7.0,overcast clouds,0.0,0
145,La Ronge,CA,55.1001,-105.2842,70.05,68,90,5.75,overcast clouds,0.0,0
146,Nuuk,GL,64.1835,-51.7216,50.61,93,90,5.75,overcast clouds,0.0,0
147,Chimore,BO,-16.9833,-65.1333,80.02,44,49,1.07,scattered clouds,0.0,0
148,Shimoda,JP,34.6667,138.95,73.76,93,100,7.25,heavy intensity rain,5.62,0
149,Svetlogorsk,BY,52.6333,29.7333,67.23,72,49,8.43,scattered clouds,0.0,0
150,Ossora,RU,59.2353,163.0719,64.89,77,99,6.02,light rain,0.44,0
151,Saint-Louis,SN,16.3333,-15.0,83.79,65,89,7.4,overcast clouds,0.0,0
152,Sept-Iles,CA,50.2001,-66.3821,70.32,61,75,10.0,broken clouds,0.0,0
153,Pitimbu,BR,-7.4706,-34.8086,73.99,84,43,11.77,scattered clouds,0.0,0
154,Port Alfred,ZA,-33.5906,26.891,72.0,53,70,13.42,broken clouds,0.0,0
155,Canala,NC,-21.5333,165.95,73.89,63,48,8.1,scattered clouds,0.0,0
156,Te Anau,NZ,-45.4167,167.7167,40.17,97,100,2.51,light rain,1.0,0
157,Kinlochleven,GB,56.7115,-4.9661,58.17,96,100,4.18,overcast clouds,0.0,0
158,Vanavara,RU,60.34,102.2797,54.77,95,91,5.28,overcast clouds,0.0,0
159,Imeni Poliny Osipenko,RU,52.4201,136.4853,68.23,79,0,8.48,clear sky,0.0,0
160,Westport,US,41.1415,-73.3579,78.98,76,1,1.01,clear sky,0.0,0
161,Hasaki,JP,35.7333,140.8333,73.8,89,100,6.06,light rain,0.27,0
162,Aginskoye,RU,51.1,114.53,63.0,93,100,4.56,overcast clouds,0.0,0
163,Hukuntsi,BW,-24.0,21.75,62.65,36,3,19.13,clear sky,0.0,0
164,Mora,CM,11.0461,14.1401,72.97,92,92,3.36,light rain,0.18,0
165,Mehamn,NO,71.0357,27.8492,45.39,80,100,10.16,overcast clouds,0.0,0
166,Carnarvon,AU,-24.8667,113.6333,62.67,71,13,6.91,few clouds,0.0,0
167,Shingu,JP,33.7333,135.9833,81.91,91,100,4.12,overcast clouds,0.0,0
168,Saint-Joseph,RE,-21.3667,55.6167,64.78,77,57,14.36,light rain,0.13,0
169,Manaure,CO,11.7751,-72.4445,83.8,73,62,14.47,broken clouds,0.0,0
170,Caravelas,BR,-17.7125,-39.2481,69.89,84,0,5.26,clear sky,0.0,0
171,Cuamba,MZ,-14.8031,36.5372,64.56,74,78,6.53,broken clouds,0.0,0
172,Khatanga,RU,71.9667,102.5,53.19,84,100,20.56,overcast clouds,0.0,0
173,Inuvik,CA,68.3499,-133.7218,56.26,62,90,5.75,light rain,0.0,0
174,Lorengau,PG,-2.0226,147.2712,82.78,78,95,9.48,overcast clouds,0.0,0
175,Sitka,US,57.0531,-135.33,62.49,59,40,13.8,scattered clouds,0.0,0
176,Maryville,US,35.7565,-83.9705,80.8,86,90,6.91,overcast clouds,0.0,0
177,Ati,TD,13.2154,18.3353,76.35,81,100,10.51,overcast clouds,0.0,0
178,Salalah,OM,17.0151,54.0924,77.09,94,90,6.91,light intensity drizzle,0.0,0
179,Komsomolskiy,UZ,40.4272,71.7189,65.62,45,0,6.91,clear sky,0.0,0
180,Raymond Terrace,AU,-32.75,151.75,57.99,54,0,17.27,clear sky,0.0,0
181,Ambilobe,MG,-13.2,49.05,65.48,78,39,4.56,scattered clouds,0.0,0
182,Faanui,PF,-16.4833,-151.75,80.42,68,6,13.15,clear sky,0.0,0
183,Roseburg,US,43.2165,-123.3417,91.63,25,1,10.36,clear sky,0.0,0
184,Longyearbyen,SJ,78.2186,15.6401,37.24,87,20,11.5,few clouds,0.0,0
185,Bodaybo,RU,57.8506,114.1933,59.54,84,56,6.69,broken clouds,0.0,0
186,Vila Velha,BR,-20.3297,-40.2925,71.55,83,40,4.61,scattered clouds,0.0,0
187,Barsovo,RU,61.1667,73.1667,60.93,68,88,7.94,overcast clouds,0.0,0
188,Oussouye,SN,12.485,-16.5469,77.18,89,100,2.44,moderate rain,2.92,0
189,Dubbo,AU,-32.25,148.6167,50.13,81,0,4.61,clear sky,0.0,0
190,Adrar,MR,20.5022,-10.0711,94.48,29,87,11.34,overcast clouds,0.0,0
191,Kaoma,ZM,-14.7833,24.8,59.05,51,0,7.96,clear sky,0.0,0
