City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Glendive,US,2021-08-13 04:04:22,47.1053,-104.7125,64.49,39,60,5.01
68,Bengkulu,ID,2021-08-13 04:07:37,-3.8004,102.2655,83.35,64,100,4.9
69,Hokitika,NZ,2021-08-13 04:07:37,-42.7167,170.9667,52.84,73,12,5.77
70,Broome,US,2021-08-13 04:07:38,42.2506,-75.833,75.04,92,91,3.0
71,Luderitz,NA,2021-08-13 04:07:38,-26.6481,15.1594,51.12,71,0,16.64
72,Alyangula,AU,2021-08-13 04:07:39,-13.8483,136.4192,81.57,60,0,11.68
73,Zhuanghe,CN,2021-08-13 04:07:39,39.7008,122.9911,79.83,60,27,8.84
74,Carnarvon,AU,2021-08-13 04:07:40,-24.8667,113.6333,70.05,24,0,6.46
75,Morondava,MG,2021-08-13 04:07:40,-20.2833,44.2833,66.92,59,0,5.19
76,Mazagao,BR,2021-08-13 04:07:41,-0.115,-51.2894,78.85,98,100,1.41
77,Tevaitoa,PF,2021-08-13 04:07:41,-16.7833,-151.5,78.67,72,11,13.65
78,Acajutla,SV,2021-08-13 04:07:42,13.5928,-89.8275,79.41,84,68,4.36
79,Coquimbo,CL,2021-08-13 04:07:42,-29.9533,-71.3436,51.53,76,90,1.14
80,Bocaiuva,BR,2021-08-13 04:07:43,-17.1078,-43.815,62.17,57,16,6.55
81,Flinders,AU,2021-08-13 04:07:43,-34.5833,150.8552,69.19,48,0,4.0
82,Chapais,CA,2021-08-13 04:06:35,49.7834,-74.8492,68.05,61,59,10.92
83,Ribeira Grande,PT,2021-08-13 04:07:44,38.5167,-28.7,73.42,86,60,26.57
84,Guerrero Negro,MX,2021-08-13 04:07:44,27.9769,-114.0611,78.69,76,6,13.09
85,Bara,NG,2021-08-13 04:07:45,10.3744,10.7288,69.93,98,100,4.45
86,Samarai,PG,2021-08-13 04:07:45,-10.6167,150.6667,79.03,85,99,13.87
87,Tuktoyaktuk,CA,2021-08-13 04:07:46,69.4541,-133.0374,41.02,94,100,17.09
88,Vostok,RU,2021-08-13 04:07:46,46.4856,135.8833,72.7,41,23,4.36
89,Ampanihy,MG,2021-08-13 04:07:47,-24.7,44.75,59.34,88,0,4.16
90,Pemba,MZ,2021-08-13 04:07:47,-12.974,40.5178,71.85,76,1,3.4
91,Bredasdorp,ZA,2021-08-13 04:07:48,-34.5322,20.0403,41.29,76,88,0.87
92,Tuatapere,NZ,2021-08-13 04:07:48,-46.1333,167.6833,52.83,70,33,3.83
93,Atuona,PF,2021-08-13 04:07:49,-9.8,-139.0333,77.94,70,44,15.48
94,Nieuw Amsterdam,SR,2021-08-13 04:07:49,5.8833,-55.0833,76.01,93,94,5.73
95,Kavaratti,IN,2021-08-13 04:07:49,10.5669,72.642,81.81,78,99,17.69
96,Fort Nelson,CA,2021-08-13 04:07:50,58.8053,-122.7002,65.35,71,100,4.16
97,Karratha,AU,2021-08-13 04:07:50,-20.7377,116.8463,79.88,20,0,9.84
98,Mareeba,AU,2021-08-13 04:07:50,-17.0,145.4333,78.44,61,58,8.41
99,Middlebury,US,2021-08-13 04:07:51,44.0153,-73.1673,76.44,89,40,0.0
100,Mount Isa,AU,2021-08-13 04:07:51,-20.7333,139.5,83.97,24,0,11.5
101,Castro,BR,2021-08-13 04:05:10,-24.7911,-50.0119,47.3,98,100,7.58
102,Hilo,US,2021-08-13 04:07:52,19.7297,-155.09,80.33,77,75,6.91
103,Sibolga,ID,2021-08-13 04:07:53,1.7427,98.7792,85.78,64,88,4.07
104,Guadalupe Victoria,MX,2021-08-13 04:07:53,32.2869,-115.105,98.94,39,31,13.56
105,Tabou,CI,2021-08-13 04:07:53,4.423,-7.3528,76.68,77,100,11.65
106,Saint-Pierre,RE,2021-08-13 04:07:54,-21.3393,55.4781,71.29,63,0,5.75
107,Mayo,US,2021-08-13 04:07:54,38.8876,-76.5119,86.56,87,1,8.66
108,Ubeda,ES,2021-08-13 04:07:54,38.0133,-3.3705,83.84,29,3,5.37
109,Ancud,CL,2021-08-13 04:07:55,-41.8697,-73.8203,45.93,90,0,3.47
110,Zhigansk,RU,2021-08-13 04:07:55,66.7697,123.3711,71.73,38,100,8.5
111,Port Hawkesbury,CA,2021-08-13 04:07:56,45.6169,-61.3485,71.69,97,90,6.91
112,Vakhsh,TJ,2021-08-13 04:07:56,37.7149,68.8346,84.42,26,0,2.24
113,Matao,BR,2021-08-13 04:07:57,-21.6033,-48.3658,56.59,87,5,7.96
114,Makakilo City,US,2021-08-13 04:07:57,21.3469,-158.0858,84.52,60,20,10.36
115,Hamilton,US,2021-08-13 04:04:21,39.1834,-84.5333,80.78,79,1,1.01
116,Tiksi,RU,2021-08-13 04:07:57,71.6872,128.8694,45.34,79,98,16.31
117,Kaili,ID,2021-08-13 04:07:58,-3.4626,120.2147,78.94,68,71,4.41
118,Port Hardy,CA,2021-08-13 04:07:58,50.6996,-127.4199,64.06,76,43,4.32
119,Hambantota,LK,2021-08-13 04:07:59,6.1241,81.1185,84.54,74,40,9.22
120,Qaanaaq,GL,2021-08-13 04:07:59,77.484,-69.3632,34.88,72,14,3.69
